"AÑO";"MES";"ID";"TIPOEDIFICIO";"EDIFICIO";"BARRIO";"CLASE";"GRUPO";"UNIDADES";"CONSUMO"
"2020";"3";"1763";"Centros culturales y bibliotecas";"CC Valdebernardo y Biblioteca Francisco Ayala";"VALDEBERNARDO";"Energia activa";"Ninguno";"kWh";"5799,7581"
"2020";"3";"1763";"Centros culturales y bibliotecas";"CC Valdebernardo y Biblioteca Francisco Ayala";"VALDEBERNARDO";"Gas";"Gas";"m3";"933,9126"
"2020";"3";"853";"Centros culturales y bibliotecas";"CC/BPM Gloria Fuertes";"CORRALEJOS";"Energia activa";"Ninguno";"kWh";"3010,436"
"2020";"3";"853";"Centros culturales y bibliotecas";"CC/BPM Gloria Fuertes";"CORRALEJOS";"Gas";"Gas";"m3";"624,54"
"2020";"3";"1119";"Centros mixtos";"CDI Arganzuela";"PALOS DE MOGUER";"Energia activa";"Activa Contador Gral - Bus";"kWh";"41459"
"2020";"3";"1119";"Centros mixtos";"CDI Arganzuela";"PALOS DE MOGUER";"Energia reactiva";"Reactiva tarifa 6.1A";"kVAr";"8505"
"2020";"3";"1119";"Centros mixtos";"CDI Arganzuela";"PALOS DE MOGUER";"Gas";"Gas";"m3";"38,7"
"2020";"3";"631";"Centros deportivos";"CDM Aluche";"Ã�GUILAS";"Energia activa";"Ninguno";"kWh";"20675"
"2020";"3";"631";"Centros deportivos";"CDM Aluche";"Ã�GUILAS";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"1949"
"2020";"3";"631";"Centros deportivos";"CDM Aluche";"Ã�GUILAS";"Gas";"Gas";"m3";"260,7"
"2020";"3";"1971";"Centros deportivos";"CDM Ã�ngel Nieto - Puente de Vallecas";"PALOMERAS BAJAS";"Energia activa";"Activa Interruptor Gral";"kWh";"33145"
"2020";"3";"1971";"Centros deportivos";"CDM Ã�ngel Nieto - Puente de Vallecas";"PALOMERAS BAJAS";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"8590"
"2020";"3";"1971";"Centros deportivos";"CDM Ã�ngel Nieto - Puente de Vallecas";"PALOMERAS BAJAS";"Gas";"Gas";"m3";"9179"
